,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1,2023-01-01,10.08,9.7,9.952,3717429.17,36647102.13,9.99,direct,
2,2023-01-02,11.97,9.791,9.99,6930407.48,76282642.73,11.28,direct,
3,2023-01-03,13.8,11.01,11.28,10274568.45,129021571.79,13.39,direct,
4,2023-01-04,14.22,12.82,13.39,10543054.16,142824278.08,13.44,direct,
5,2023-01-05,13.86,12.95,13.44,4946914.33,65885387.04,13.43,direct,
6,2023-01-06,13.59,12.69,13.43,5090840.98,67070233.93,13.5,direct,
7,2023-01-07,13.5,13.01,13.5,1903347.69,25215262.79,13.1,direct,
8,2023-01-08,14.87,12.85,13.1,5128425.36,69849810.79,14.45,direct,
9,2023-01-09,17.52,14.29,14.45,16507038.83,267958729.7,16.26,direct,
10,2023-01-10,16.73,15.57,16.26,7263067.41,117343825.18,16.21,direct,
11,2023-01-11,16.6,15.29,16.21,5770927.92,91957286.78,16.37,direct,
12,2023-01-12,16.97,15.59,16.37,7520429.1,122893887.95,16.6,direct,
13,2023-01-13,18.6,16.32,16.6,7751192.4,133083479.97,18.29,direct,
14,2023-01-14,24.72,18.21,18.29,19047944.18,426149505.62,24.24,direct,
15,2023-01-15,24.91,21.99,24.24,9730791.48,225168855.76,22.88,direct,
16,2023-01-16,25.0,22.27,22.88,8315802.17,195373635.91,23.58,direct,
17,2023-01-17,23.95,22.72,23.58,5233561.56,122316881.28,22.89,direct,
18,2023-01-18,23.62,20.34,22.89,9877415.06,218474162.96,20.81,direct,
19,2023-01-19,21.86,20.43,20.81,4845438.93,102839432.43,21.4,direct,
20,2023-01-20,25.81,20.93,21.4,7144165.43,164469564.96,25.54,direct,
21,2023-01-21,26.46,24.38,25.54,7960756.56,201065652.02,24.57,direct,
22,2023-01-22,25.43,23.52,24.57,5113072.36,126726909.34,24.22,direct,
23,2023-01-23,24.93,23.76,24.22,4270924.46,104226920.63,24.35,direct,
24,2023-01-24,25.21,22.41,24.35,3774704.92,91078716.14,22.77,direct,
