,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1,2023-01-01,0.3399,0.3352,0.3389,29979744.41,10111171.52,0.3387,direct,
2,2023-01-02,0.3548,0.312,0.3387,197084119.6,66450779.27,0.3483,direct,
3,2023-01-03,0.3519,0.3413,0.3483,196955382.26,67809517.83,0.3436,direct,
4,2023-01-04,0.3519,0.3385,0.3436,152000179.05,52760753.93,0.3476,direct,
5,2023-01-05,0.3484,0.3355,0.3476,108107392.54,37020428.0,0.3379,direct,
6,2023-01-06,0.3458,0.3313,0.3379,104278418.95,35156284.56,0.3445,direct,
7,2023-01-07,0.3457,0.3415,0.3445,17651628.34,6066625.49,0.3443,direct,
8,2023-01-08,0.3462,0.3383,0.3443,49750283.96,16941596.02,0.3447,direct,
9,2023-01-09,0.3572,0.3434,0.3447,237520405.15,83095392.2,0.3491,direct,
10,2023-01-10,0.3538,0.3433,0.3491,170001452.55,59290332.6,0.351,direct,
11,2023-01-11,0.3769,0.3476,0.351,191484759.29,69297899.56,0.3729,direct,
12,2023-01-12,0.38,0.3635,0.3729,113780748.63,42330846.11,0.3747,direct,
13,2023-01-13,0.3868,0.3689,0.3747,87559117.5,32896885.32,0.3861,direct,
14,2023-01-14,0.4085,0.3827,0.3861,97682525.67,38600557.51,0.3953,direct,
15,2023-01-15,0.3968,0.38,0.3953,39332951.5,15189156.72,0.3847,direct,
16,2023-01-16,0.4054,0.3785,0.3847,202173822.9,78624611.86,0.3861,direct,
17,2023-01-17,0.3983,0.3791,0.3861,129398701.35,49847675.1,0.3869,direct,
18,2023-01-18,0.3953,0.3686,0.3869,153063097.31,58735599.02,0.3788,direct,
19,2023-01-19,0.3956,0.3765,0.3788,95777812.73,36908710.19,0.3931,direct,
20,2023-01-20,0.4134,0.3859,0.3931,94422339.81,37252440.97,0.413,direct,
21,2023-01-21,0.4161,0.3986,0.413,39156806.34,16009712.21,0.4033,direct,
22,2023-01-22,0.4117,0.3968,0.4033,32913018.79,13269597.94,0.4007,direct,
23,2023-01-23,0.4326,0.3999,0.4007,171564561.52,72025464.3,0.4238,direct,
24,2023-01-24,0.4308,0.4039,0.4238,103839091.96,43675003.39,0.4077,direct,
